,state,week_of_year,pop_count_2019,percent_age65over,percent_female,percent_white,percent_black,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
1402,New Mexico,11,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,50,2.384553056067042,17.0,0.8107480390627944
1403,New Mexico,12,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,272,12.97196862500471,48.0,2.2891709338243604
1404,New Mexico,13,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,1070,51.029435399834696,172.0,8.202862512870624
1405,New Mexico,14,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,3026,144.3131509531774,387.0,18.456440653958907
1406,New Mexico,15,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,6843,326.3499312533354,621.0,29.61614895635266
1407,New Mexico,16,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,11187,533.5199007644401,600.0,28.614636672804508
1408,New Mexico,17,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,16546,789.0962973137056,883.0,42.11120697014396
1409,New Mexico,18,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,23519,1121.6460665128152,1122.0,53.50937057814442
1410,New Mexico,19,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,31263,1490.9656438364789,1013.0,48.31104491591827
1411,New Mexico,20,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,38595,1840.63650397815,1075.0,51.26789070544141
1412,New Mexico,21,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,45461,2168.083329637276,1005.0,47.92951642694754
1413,New Mexico,22,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,51578,2459.8095505165174,746.0,35.57753159652027
1414,New Mexico,23,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,58729,2800.848328595226,1251.0,59.6615174627974
1415,New Mexico,24,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,65655,3131.1566179216334,783.0,37.34210085800988
1416,New Mexico,25,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,71251,3398.0357959566563,842.0,40.15587346416899
1417,New Mexico,26,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,78550,3746.132851081323,1244.0,59.32768003494801
1418,New Mexico,27,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,88020,4197.7671999004215,1447.0,69.0089654425802
1419,New Mexico,28,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,99852,4762.047835088126,1772.0,84.50856030701598
1420,New Mexico,29,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,112947,5386.562280472084,1943.0,92.66373175876525
1421,New Mexico,30,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,127039,6058.62471379402,2082.0,99.29278925463163
1422,New Mexico,31,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,142229,6783.051932227187,1963.0,93.61755298119208
1423,New Mexico,32,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,152204,7258.770266912562,1299.0,61.95068839662176
1424,New Mexico,33,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,160760,7666.814985866753,1093.0,52.12632980562554
1425,New Mexico,34,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,167572,7991.686494225329,988.0,47.11876838788476
1426,New Mexico,35,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,174159,8305.8275138316,887.0,42.301971214629326
1427,New Mexico,36,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,180293,8598.364482749905,824.0,39.29743436398486
1428,New Mexico,37,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,185007,8823.180144875905,654.0,31.189953973356914
1429,New Mexico,38,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,190446,9082.57182631488,818.0,39.01128799725681
1430,New Mexico,39,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,197707,9428.856621116935,1265.0,60.32919231849616
1431,New Mexico,40,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,208011,9920.26531491123,1633.0,77.87950281114959
1432,New Mexico,41,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,222653,10618.557831849903,2506.0,119.51379917008015
1433,New Mexico,42,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,245224,11694.992772419686,3805.0,181.46448756670188
1434,New Mexico,43,2096829,18.00843082578503,50.52376707876512,81.8691462203165,2.61213479973808,276361,13179.949342554877,5075.0,242.0321351908048
